amfi_code,beta,alpha,r_squared
100016,-0.0603,0.04,0.0029
100025,0.0005,0.0437,0.0
100033,0.0025,0.2752,0.0
101206,0.0212,0.2139,0.0004
101207,-0.0675,0.1117,0.0011
101208,0.0002,0.0609,0.0
102885,-0.0176,0.1682,0.0003
102886,-0.0402,0.0266,0.0008
102887,0.0147,0.1646,0.0001
118632,-0.0087,0.2187,0.0001
118633,-0.0395,0.16,0.0013
118634,0.103,0.1757,0.0028
118635,-0.0033,0.1537,0.0
118636,0.0018,0.0501,0.0
119092,0.0085,0.0705,0.0001
119093,0.0259,0.0824,0.0006
119094,-0.0673,0.262,0.002
119095,-0.0638,0.044,0.0011
119120,-0.006,0.0557,0.0004
119551,-0.0321,0.2325,0.0009
119552,-0.0297,0.2031,0.0008
119598,-0.0261,0.307,0.0002
119599,0.0587,0.0529,0.0009
120503,-0.0397,0.1764,0.0014
120504,0.014,0.2147,0.0002
120505,-0.0033,0.2974,0.0
120506,0.042,0.1624,0.0013
120507,-0.0004,0.0674,0.0001
120841,0.037,0.1296,0.0013
120842,0.0212,0.0741,0.0002
120843,-0.0198,0.2695,0.0003
120844,-0.0004,0.0646,0.0001
125497,0.049,0.1771,0.0018
125498,0.0081,0.1211,0.0
148567,0.027,0.2656,0.0006
148568,-0.0237,0.2054,0.0004
148569,0.0195,0.281,0.0002
149322,-0.0057,0.1338,0.0
149323,-0.0026,0.2661,0.0
149324,0.0094,0.3032,0.0
