overall_rank,amfi_code,scheme_name,category,cagr_3yr,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown_pct,composite_score
1,120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,0.30206534630200976,1.2051,0.2974,1.36,-18.19,84.1
2,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,0.3362921056230763,1.1106,0.2752,1.38,-16.22,82.4
3,119094,Axis Midcap Fund - Regular - Growth,Equity,0.3606601747719518,1.0031,0.262,1.38,-20.96,80.6
4,119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,0.27814418371202754,0.9592,0.307,1.43,-28.71,78.3
5,148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,0.3127857318272198,1.422,0.2656,1.46,-11.27,77.4
6,120843,Kotak Flexicap Fund - Regular - Growth,Equity,0.2566188265022562,1.2842,0.2695,1.45,-12.97,74.9
7,120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.28369809430069837,1.0457,0.2147,0.8,-12.59,74.0
8,149324,DSP Small Cap Fund - Regular - Growth,Equity,0.25029675402929885,0.9599,0.3032,1.52,-31.17,73.7
9,119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,0.27727427651752534,1.2103,0.2325,1.54,-15.01,71.0
10,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,0.23317122535147572,1.2256,0.281,1.6,-16.4,69.6
11,149323,DSP Midcap Fund - Regular - Growth,Equity,0.24242464971409516,1.1323,0.2661,1.61,-17.25,66.4
12,101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,0.32528591355184844,1.0263,0.2139,1.6,-11.29,65.1
13,118632,Nippon India Large Cap Fund - Regular - Growth,Equity,0.18088593620415083,1.0837,0.2187,1.51,-17.41,64.9
14,118633,Nippon India Large Cap Fund - Direct - Growth,Equity,0.18128823270614958,0.6698,0.16,0.72,-18.63,60.4
15,119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,0.15383382573944893,0.9849,0.2031,0.66,-11.8,60.3
16,125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.1770571225538371,0.775,0.1771,0.92,-15.2,57.7
17,120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,0.18246287427399865,0.6488,0.1624,1.41,-19.83,55.9
18,102887,UTI Flexi Cap Fund - Regular - Growth,Equity,0.2566304169554934,0.6351,0.1646,1.64,-21.29,53.5
19,119093,Axis Bluechip Fund - Direct - Growth,Equity,0.20575450839484977,0.1304,0.0824,0.75,-21.75,53.2
20,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,0.13077495792463978,0.9054,0.2054,1.52,-15.27,50.9
21,120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,0.1480416951560286,0.7921,0.1764,1.42,-13.9,49.9
22,118635,Nippon India ETF Nifty 50 BeES,Equity,0.16236841860639406,0.6825,0.1537,0.89,-11.51,48.7
23,102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,0.17520119946365442,0.7995,0.1682,1.57,-10.86,46.2
24,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.12492937768565682,0.3071,0.1211,0.78,-21.12,45.0
25,118634,Nippon India Small Cap Fund - Regular - Growth,Equity,0.0758063522976058,0.4521,0.1757,1.53,-23.34,42.1
26,120841,Kotak Bluechip Fund - Regular - Growth,Equity,0.16684258851596145,0.4891,0.1296,1.59,-17.57,41.8
27,149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,0.16528044392382957,0.478,0.1338,1.54,-14.11,39.9
28,120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,0.07051904540600296,0.4862,0.0674,0.74,-0.1,36.0
29,119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,-0.006866124385353167,-0.0406,0.0529,0.72,-52.57,33.5
30,120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,0.10040620430039637,0.0552,0.0741,1.56,-24.0,32.9
31,120844,Kotak Liquid Fund - Regular - Growth,Debt,0.0654165743882027,-0.0881,0.0646,0.6,-0.12,30.8
32,101207,ABSL Small Cap Fund - Regular - Growth,Equity,-0.026964750873929244,0.1722,0.1117,1.53,-35.45,29.2
33,119095,Axis Small Cap Fund - Regular - Growth,Equity,-0.11065546853000663,-0.0923,0.044,1.38,-51.68,24.4
34,118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,0.04152061472814461,-0.3728,0.0501,0.55,-8.32,24.2
35,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,0.05606028649588968,-0.24,0.0557,0.77,-4.33,24.1
36,100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,0.046143288414864925,-0.5465,0.0437,0.56,-4.31,22.4
37,101208,ABSL Liquid Fund - Regular - Growth,Debt,0.060761500834302096,-0.7991,0.0609,0.79,-0.16,22.2
38,119092,Axis Bluechip Fund - Regular - Growth,Equity,0.005559688070353008,0.0415,0.0705,1.64,-14.4,19.0
39,102886,UTI Mid Cap Fund - Regular - Growth,Equity,-0.01832224809009908,-0.2194,0.0266,1.51,-28.0,19.0
40,100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,-0.00031627759670682654,-0.1858,0.04,1.55,-24.73,18.3
