amfi_code,hhi,concentration,scheme_name
119092,2967.69,Concentrated,Axis Bluechip Fund - Regular - Growth
148569,2549.92,Concentrated,Mirae Asset Tax Saver Fund - Regular - Growth
125498,2531.55,Concentrated,HDFC Mid-Cap Opportunities Fund - Direct - Growth
102887,2513.83,Concentrated,UTI Flexi Cap Fund - Regular - Growth
149323,2410.77,Moderate,DSP Midcap Fund - Regular - Growth
120505,2386.95,Moderate,ICICI Pru Midcap Fund - Regular - Growth
118635,2374.97,Moderate,Nippon India ETF Nifty 50 BeES
119599,2323.61,Moderate,SBI Small Cap Fund - Direct Plan - Growth
120506,2314.64,Moderate,ICICI Pru Value Discovery Fund - Regular - Growth
100033,2276.47,Moderate,HDFC Mid-Cap Opportunities Fund - Regular - Growth
119552,2275.08,Moderate,SBI Bluechip Fund - Direct Plan - Growth
101207,2227.27,Moderate,ABSL Small Cap Fund - Regular - Growth
120504,2212.13,Moderate,ICICI Pru Bluechip Fund - Direct - Growth
118633,2212.0,Moderate,Nippon India Large Cap Fund - Direct - Growth
148568,2180.86,Moderate,Mirae Asset Emerging Bluechip Fund - Regular - Growth
120841,2158.93,Moderate,Kotak Bluechip Fund - Regular - Growth
118632,2072.59,Moderate,Nippon India Large Cap Fund - Regular - Growth
148567,2012.48,Moderate,Mirae Asset Large Cap Fund - Regular - Growth
149324,1887.01,Moderate,DSP Small Cap Fund - Regular - Growth
119598,1880.85,Moderate,SBI Small Cap Fund - Regular Plan - Growth
119093,1842.33,Moderate,Axis Bluechip Fund - Direct - Growth
149322,1826.95,Moderate,DSP Top 100 Equity Fund - Regular - Growth
120503,1821.68,Moderate,ICICI Pru Bluechip Fund - Regular - Growth
102885,1807.12,Moderate,UTI Nifty 50 Index Fund - Regular - Growth
100016,1805.88,Moderate,HDFC Top 100 Fund - Regular Plan - Growth
101206,1800.42,Moderate,ABSL Frontline Equity Fund - Regular - Growth
119094,1751.0,Moderate,Axis Midcap Fund - Regular - Growth
125497,1724.11,Moderate,HDFC Top 100 Fund - Direct Plan - Growth
120842,1620.62,Moderate,Kotak Emerging Equity Fund - Regular - Growth
118634,1602.99,Moderate,Nippon India Small Cap Fund - Regular - Growth
119095,1595.82,Moderate,Axis Small Cap Fund - Regular - Growth
119551,1424.91,Moderate,SBI Bluechip Fund - Regular Plan - Growth
120843,1362.06,Moderate,Kotak Flexicap Fund - Regular - Growth
102886,1240.2,Moderate,UTI Mid Cap Fund - Regular - Growth
