amfi_code,sharpe_ratio
100016,-0.1858
100025,-0.5465
100033,1.1106
101206,1.0263
101207,0.1722
101208,-0.7991
102885,0.7995
102886,-0.2194
102887,0.6351
118632,1.0837
118633,0.6698
118634,0.4521
118635,0.6825
118636,-0.3728
119092,0.0415
119093,0.1304
119094,1.0031
119095,-0.0923
119120,-0.24
119551,1.2103
119552,0.9849
119598,0.9592
119599,-0.0406
120503,0.7921
120504,1.0457
120505,1.2051
120506,0.6488
120507,0.4862
120841,0.4891
120842,0.0552
120843,1.2842
120844,-0.0881
125497,0.775
125498,0.3071
148567,1.422
148568,0.9054
148569,1.2256
149322,0.478
149323,1.1323
149324,0.9599
