amfi_code,sortino_ratio
100016,-0.3234
100025,-0.9073
100033,1.856
101206,1.7988
101207,0.2927
101208,-1.6439
102885,1.4043
102886,-0.3701
102887,1.1152
118632,1.855
118633,1.1992
118634,0.7522
118635,1.1674
118636,-0.6413
119092,0.0709
119093,0.2226
119094,1.7121
119095,-0.1556
119120,-0.3991
119551,2.1459
119552,1.6669
119598,1.6985
119599,-0.0669
120503,1.3286
120504,1.8379
120505,2.0731
120506,1.0962
120507,1.032
120841,0.854
120842,0.0904
120843,2.3216
120844,-0.1865
125497,1.3299
125498,0.5196
148567,2.3392
148568,1.595
148569,2.1313
149322,0.7844
149323,1.8763
149324,1.6359
